"","x"
"tot_APSD",0.345959630666373
"cu_APSD",0.293720419094547
"narc_APSD",0.167311756960211
"imp_APSD",0.30250276156564
"ag.v_SHRP",0.416726856201617
"bul_SHRP",0.421974500029264
"ag.c_SHRP",0.452494422615474
"hos_SHRP",0.437310764216105
"ag.p_SHRP",0.311771861418284
"tot_ARI",0.403806371290175
"att_CON",0.434596971546778
"hyp.imp_CON",0.469972146571054
"learn_CON",0.242616090782536
"exec_CON",0.331228700696273
"def_CON",0.535313248735033
"peer_CON",0.502795879995953
"tot_CON",0.560543174737112
"adhd.att_CON",0.427691588074562
"adhd.hyp_CON",0.435791396189636
"cond_CON",0.504270755270646
"odd_CON",0.444612172025009
"cont_DCD",0.36738741426561
"fine_DCD",0.286265173517374
"coord_DCD",0.368779937848299
"tot_DCD",0.405235343336792
"tot_SCQ",0.373700354673145
"soc_SCQ",0.325767384789997
"com_SCQ",0.258882294106734
"rep_SCQ",0.288720815439708
"emo_SDQ",0.336236232920975
"cond_SDQ",0.410982258802586
"hyp.imp_SDQ",0.421213267109725
"peer_SDQ",0.36007361556895
"soc_SDQ",0.341490923376003
"tot_SDQ",0.571227378022881
"tot_SRS",0.650938274841038
"awr_SRS",0.38590647159642
"cog_SRS",0.551375138561451
"com_SRS",0.608093765823896
"mot_SRS",0.391476018052325
"man_SRS",0.554076588479824
"asd_SRS",0.630808265139573
"ax.dep_CBCL",0.446033835663513
"wt.dep_CBCL",0.431147785918862
"som_CBCL",0.313322333080288
"soc_CBCL",0.593445407242095
"tht_CBCL",0.54491769932836
"att_CBCL",0.468428853148744
"rule_CBCL",0.385831382177719
"ag_CBCL",0.578761580528069
"int_CBCL",0.506568370169283
"ext_CBCL",0.5864062105685
"tot_CBCL",0.699567003740694
